iter	Passed	Remaining
0	3	318
1	5	270
2	7	252
3	9	233
4	11	221
5	13	209
6	15	203
7	17	198
8	18	191
9	20	181
10	20	169
11	21	159
12	22	150
13	23	142
14	24	136
15	24	130
16	25	124
17	26	120
18	27	116
19	27	111
20	28	108
21	29	104
22	30	100
23	30	97
24	31	95
25	32	92
26	33	90
27	34	87
28	35	85
29	35	83
30	36	81
31	37	79
32	38	77
33	39	75
34	39	73
35	40	72
36	41	70
37	42	69
38	43	67
39	43	65
40	44	63
41	45	62
42	45	60
43	46	59
44	47	57
45	47	56
46	48	54
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	66	32
67	67	31
68	68	30
69	69	29
70	69	28
71	70	27
72	71	26
73	72	25
74	74	24
75	75	23
76	76	22
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	85	11
88	86	10
89	87	9
90	87	8
91	88	7
92	89	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	93	0
99	94	0
