iter	Passed	Remaining
0	146	146660
1	149	74426
2	151	50258
3	153	38176
4	155	30862
5	156	25997
6	157	22408
7	159	19720
8	160	17665
9	161	15987
10	162	14629
11	163	13478
12	164	12518
13	165	11676
14	166	10933
15	167	10291
16	168	9726
17	169	9233
18	171	8831
19	171	8414
20	172	8036
21	173	7691
22	173	7375
23	174	7089
24	174	6822
25	175	6578
26	176	6352
27	177	6146
28	177	5951
29	178	5771
30	179	5602
31	179	5443
32	180	5291
33	181	5148
34	181	5011
35	182	4886
36	183	4766
37	183	4652
38	184	4544
39	185	4442
40	185	4344
41	186	4251
42	187	4162
43	187	4077
44	188	4001
45	189	3924
46	189	3852
47	190	3782
48	191	3715
49	192	3651
50	192	3590
51	193	3530
52	194	3474
53	195	3418
54	195	3363
55	196	3312
56	197	3263
57	197	3214
58	198	3167
59	199	3120
60	199	3076
61	200	3033
62	201	2991
63	201	2950
64	202	2912
65	203	2877
66	204	2841
67	204	2808
68	205	2775
69	206	2742
70	207	2711
71	208	2683
72	209	2654
73	209	2625
74	210	2598
75	211	2569
76	211	2541
77	212	2513
78	213	2486
79	213	2459
80	214	2433
81	215	2407
82	215	2378
83	215	2353
84	216	2329
85	217	2306
86	217	2284
87	218	2262
88	219	2241
89	219	2221
90	220	2200
91	221	2181
92	221	2162
93	222	2144
94	223	2126
95	223	2107
96	224	2088
97	224	2070
98	225	2052
99	226	2036
100	226	2018
101	227	2001
102	228	1985
103	228	1970
104	229	1954
105	229	1938
106	230	1923
107	231	1908
108	231	1893
109	232	1879
110	232	1866
111	233	1852
112	234	1839
113	234	1826
114	235	1813
115	236	1801
116	236	1787
117	237	1776
118	238	1765
119	239	1754
120	239	1742
121	240	1729
122	241	1718
123	241	1707
124	242	1695
125	242	1684
126	243	1672
127	243	1661
128	244	1650
129	244	1639
130	245	1628
131	246	1618
132	246	1608
133	247	1598
134	248	1590
135	248	1580
136	249	1571
137	250	1562
138	250	1553
139	251	1544
140	252	1536
141	252	1526
142	253	1518
143	254	1510
144	254	1502
145	255	1493
146	255	1485
147	256	1477
148	257	1469
149	257	1461
150	258	1452
151	259	1445
152	259	1437
153	260	1429
154	260	1421
155	261	1414
156	262	1407
157	262	1400
158	263	1393
